Source,Target,Weight
ability,dependent-upon,4.661667490662062
able,develop,3.0426895427532163
able,get,4.434828180658212
able,make,3.4623664311673465
able,take,3.1625594313843606
academic-press,american,4.8088193449590175
academic-press,american-journal,6.823200636328371
academic-press,american-political,4.015313498244194
academic-press,american-sociological,4.159635332195563
academic-press,ann-arbor,3.1677526637192273
academic-press,annual-review,4.324513970750559
academic-press,b,5.257193731164501
academic-press,b-c,4.85414899087739
academic-press,berkeley-university,5.496092607424582
academic-press,beverly-hills,5.08336242380534
academic-press,bureau-census,5.3299699440658115
academic-press,c,5.85151856914167
academic-press,c-e,3.512870980240217
academic-press,c-h,3.7039150180113274
academic-press,c-j,11.351113711660565
academic-press,c-r,6.899849961188572
academic-press,california-press,3.037294590423851
academic-press,cambridge,5.494550926468783
academic-press,cambridge-cambridge,6.908181675821714
academic-press,cambridge-harvard,3.6885630629767405
academic-press,cambridge-university,3.3818680900164226
academic-press,chicago,3.982173636428029
academic-press,chicago-university,6.776721754386241
academic-press,cliffs-nj,6.654491388291538
academic-press,comparative-analysis,3.9249955086482866
academic-press,david,7.9900855235278225
academic-press,dc-us,8.070683025944877
academic-press,e,6.858794600482873
academic-press,e-e,6.503731900079329
academic-press,ed,4.368575234508397
academic-press,ed-new,3.9365702521123045
academic-press,eds,3.858190292694544
academic-press,englewood-cliffs,4.701147992573631
academic-press,f,5.901700900762784
academic-press,factor-analysis,3.297112561727192
academic-press,g,7.454159998276091
academic-press,general-social,3.6936662216139524
academic-press,h,9.81785405380421
academic-press,harvard-university,4.399772486787351
academic-press,health-social,7.574435519139641
academic-press,j,9.282256391143758
academic-press,j-c,15.542068243753613
academic-press,j-e,4.537358845993482
academic-press,j-h,19.871841793692333
academic-press,j-j,5.699790659655347
academic-press,j-l,4.990246626135635
academic-press,j-p,7.836933302297156
academic-press,j-r,7.638861072911487
academic-press,j-w,12.104560867712028
academic-press,john,8.930014046781714
academic-press,journal,4.771510845818614
academic-press,journal-personality,10.468820802040382
academic-press,journal-political,3.4227973653622628
academic-press,k,5.984356397846241
academic-press,l,9.462958574199611
academic-press,life-course,7.452865231030733
academic-press,life-new,3.1058421882067995
academic-press,london-routledge,3.4956991248898808
academic-press,mental-health,3.947046045213727
academic-press,n,3.2289648525298134
academic-press,nd-ed,4.185923400725251
academic-press,new,3.923587251556508
academic-press,new-york,6.278178937560603
academic-press,nj-princeton,6.124757845796203
academic-press,occupational-status,4.5983154408931535
academic-press,p,3.3229860623893943
academic-press,paper-presented,3.7084425283122635
academic-press,personality-social,3.362445774537236
academic-press,phd-dissertation,11.599678245492548
academic-press,pp,6.749621097404783
academic-press,pp-new,3.3239317044105636
academic-press,press,50.360782560435545
academic-press,princeton-nj,10.067051074594891
academic-press,psychological-bulletin,32.8293277381511
academic-press,r,7.409886053240535
academic-press,r-c,6.316518797277362
academic-press,r-e,6.7169958360849495
academic-press,r-j,3.733960762213378
academic-press,r-l,8.82280880694833
academic-press,r-p,6.803725649802663
academic-press,relationships-among,3.914636282965638
academic-press,robert,9.977050416757221
academic-press,sage-publications,7.0011764291500835
academic-press,sex-differences,9.853411865593522
academic-press,social-context,3.36838499240798
academic-press,social-control,7.125118614845382
academic-press,social-forces,3.929821378511378
academic-press,social-mobility,5.196554704497362
academic-press,social-networks,4.474994879286901
academic-press,social-psychology,4.938553357348437
academic-press,social-research,3.2709898860359776
academic-press,social-stratification,7.373458752161303
academic-press,social-structure,6.5422087848764106
academic-press,social-support,8.698934062443191
academic-press,society-new,6.5500047717923575
academic-press,structure,3.2009215230388035
academic-press,taking-account,3.143878880101937
academic-press,theory,3.2647080956606622
academic-press,theory-research,6.323500580252404
academic-press,theory-social,8.03505802061366
academic-press,university-california,4.121942172275073
academic-press,university-michigan,3.1889416447474495
academic-press,us-department,4.664189281940191
academic-press,v,3.7423969346534847
academic-press,w,7.065445760950878
academic-press,washington-dc,4.453595326372161
academic-press,york,5.295403434655518
academic-press,york-academic,6.934498558396272
account,differences-among,3.3049181887811923
account,first-place,3.4200877303924564
account,observed,3.098364724082184
across,categories,3.2607584096337505
across,different-levels,4.41307649508725
across,different-social,3.3792707882551314
across,different-types,3.6240449479909134
across,ethnic-groups,4.67984941902536
across,life-course,7.564032276063085
across,range,3.9384103647522006
across,social-classes,3.856805362248158
across,social-groups,4.038559893022554
across,standard-deviation,2.9979447050782895
across,wide-range,6.491982970483371
action,cambridge,3.618330257952666
action,cambridge-cambridge,3.9410610216163215
action,cambridge-harvard,5.085379567153179
action,cambridge-university,3.3441685768818137
action,civil-rights,4.02307460761619
action,collective-action,6.138914946809938
action,harvard-university,4.781017409530049
action,human-beings,3.4234405847471066
action,social-action,8.584386722051702
action,social-movements,4.230801989316633
action,social-structure,4.309890705353008
action,takes-place,4.183891688566044
action,york-cambridge,5.6298527542145465
action,york-mcgrawhill,13.30966583265263
activities,respondents-asked,3.0460541551203213
activities,social-relationships,3.196529287304417
activities,take-place,5.498747819136596
actually,answer-question,3.239413247802796
actually,takes-place,3.9521909454950954
actually,took-place,3.6042253295697018
actually,two-different,3.473140364766303
addition,also-include,3.28895315547011
addition,also-included,3.2055974065951527
addition,may-affect,4.001347132923892
addition,may-also,3.4270138770424317
addition,might-also,3.491891498242615
addition,model-also,3.686254851795773
addition,respondents-asked,3.465323373016052
addition,study-also,6.140268730820869
additional,also-included,3.762375415910028
additional,also-used,3.131490136841163
additional,analyses,4.594073951975252
additional,control-variables,3.762932424000301
additional,data-collection,3.5439030394219215
additional,information,4.29701852984961
additional,missing-data,4.437278297813083
additional,national-science,3.4807433229121187
additional,reported-table,4.107441060991564
additional,variables-included,3.351826903545003
additional,variables-model,4.163597481747309
affect,different-ways,4.628927092912614
affect,journal-personality,5.028976752266982
affect,may-affect,4.487383411097256
affect,personality-social,4.703199802186804
affect,positive-negative,4.613619655640468
affect,psychological-bulletin,3.2111758701684745
