title,isPartOf,pageCount,publicationYear,docSubType
The Indian Inhabitants of the Valley of Virginia,The Virginia Magazine of History and Biography,4,1926,research-article
White Ethnic Diversity and Community Attachment in Small Iowa Towns,Social Science Quarterly,11,2001,research-article
TYPOLOGIES OF PUBLIC POLICY: MEANING CONSTRUCTION AND THE POLICY PROCESS,Social Science Quarterly,13,1980,research-article
HUMAN FACTORS IN URBAN PLANNING—5: architect's dilemma,Official Architecture and Planning,5,1970,research-article
Children—Socioeconomic Class and Equity,YC Young Children,4,2009,research-article
THE PSYCHOLOGY OF NOMADS,Nomadic Peoples,8,1983,book-review
Coastal Society in the Republic of Bénin: Reproduction of a Regional System (La société côtière de la République du Bénin: reproduction d'un système régional),Cahiers d'Études Africaines,19,1989,research-article
The Effects of Grandparents on Children's Schooling: Evidence From Rural China,Demography,19,2014,research-article
Two and a Half Centuries of the Galleon Trade,Philippine Studies,28,1955,research-article
Review Article,Social History,3,2006,book-review
Address of the Sectional President: SOCIAL FORMATION OF THE VILLAGE IN NORTH INDIA (LATE EIGHTEENTH-EARLY NINETEENTH CENTUR Y),Proceedings of the Indian History Congress,19,1991,research-article
Review Article,The Virginia Magazine of History and Biography,2,2001,book-review
SUPPLEMENT to the Charity Organisation Review: NOTICES AND ADVERTISEMENTS,Charity Organisation Review,6,1914,misc
"[About the Cover]: A Home on the Hill: Memories of St Vincent's Home, Drexel Hill, PA",American Catholic Studies,11,2015,misc
Mound Bayou—Past and Present,Negro History Bulletin,5,1940,research-article
AUSTRALIA'S VANISHING PREHISTORIC PEOPLE,Southwest Review,5,1967,book-review
Review Article,Sociology,2,1986,book-review
the child's right to have a trained parent,Elementary School Guidance & Counseling,7,1975,research-article
"Population Pressure Theory, Elite Exploitation, and Reproductive Success",Politics and the Life Sciences,7,1989,research-article
Summary of Reader Responses,Young Children,2,1988,research-article
Modernization and Aging in the Third and Fourth World: Views from the Rural Hinterland in Nepal,Human Organization,8,1981,research-article
Dangerous Liaisons: Women and Men: Risk and Reputation in Mumbai,Economic and Political Weekly,9,2007,research-article
Drawing the Poverty Line at a Cultural Subsistence Level,The Southwestern Social Science Quarterly,9,1962,research-article
"Literacy Movement in Kerala: One Step Forward, Two Step Backwards",Economic and Political Weekly,5,1993,research-article
Bastion of Communal Amity Crumbles,Economic and Political Weekly,3,1993,research-article
TOWARD A MODEL OF WORK TEAM ALTRUISM,The Academy of Management Review,25,2014,research-article
THE HISTORY OF THE FIRST RUSSIAN-AMERICAN JEWISH CONGREGATION. THE BETH HAMEDROSH HAGODOL,Publications of the American Jewish Historical Society,12,1901,research-article
TEACHING AND PREACHING SEXUAL MORALITY: THE NEW RIGHT'S ANTI-FEMINISM IN BRITAIN AND THE U.S.A.,The Journal of Education,14,1984,research-article
Human Capital Attainment and Gender Empowerment: The Kerala Paradox,Social Science Quarterly,16,2007,research-article
Teaching Active Citizenship: A Companion to the Traditional Political Science Curriculum,PS: Political Science and Politics,8,2014,research-article
GUEST EDITOR'S PREFACE,Philippine Sociological Review,2,1978,misc
aiding the relocated family and mobile child,Elementary School Guidance & Counseling,9,1984,research-article
On Waitressing,The Threepenny Review,2,1986,research-article
Review Article,Pacific Affairs,3,2015,book-review
REPORTS FROM THE EDUCATIONAL FIELD,The Journal of Education,2,1921,research-article
Natality and Family Planning in Three Bombay Communities,Human Organization,12,1988,research-article
MOTIVES AND OBJECTIVES OF MIGRATION: SELECTIVE MIGRATION AND PREFERENCES TOWARD RURAL AND URBAN LIFE IN GUAYANA,Ekistics,7,1969,research-article
"AGENDA FEMINIST DIALOGUE: APPROACHING 20 YEARS OF DEMOCRACY: WOMEN, LEADERSHIP AND TRANSFORMATION",Agenda: Empowering Women for Gender Equity,9,2013,research-article
Activating the Past for Civic Action: The International Coalition of Historic Site Museums of Conscience,The George Wright Forum,10,2002,research-article
MINUTES OF JUNE 14 MEETING THE EXECUTIVE COUNCIL THE ASSOCIATION FOR THE STUDY OF AFRO-AMERICAN LIFE AND HISTORY,Negro History Bulletin,1,1980,misc
Urbanizing America: Costs and Challenges,"The Library Quarterly: Information, Community, Policy",10,1968,research-article
RARE RESOURCES AND ENVIRONMENTAL CRISES: NOTES ON WATER MANAGEMENT AMONG THE AÏT UNZÂR PASTORALISTS IN SOUTH-EASTERN MOROCCO,Nomadic Peoples,10,2003,research-article
Review Article,Philippine Studies: Historical & Ethnographic Viewpoints,6,2012,book-review
Retheorizing Families,Sociology,6,2004,book-review
REPORTS FROM THE EDUCATIONAL FIELD,The Journal of Education,2,1922,research-article
Review Article,Discourse Studies,3,2012,book-review
Plantation Labour Act and Child Labour,Economic and Political Weekly,3,1992,research-article
Notes on Social Work Abroad,Charity Organisation Review,10,1900,misc
COMMUNITY DEVELOPMENT AS ECONOMIC DEVELOPMENT: THE ROLE OF VALUE ORIENTATIONS,Ekistics,3,1961,research-article
A Function of Bilateral Kinship Patterns in a New England Industry,Human Organization,8,1958,research-article
Traveling Through Tropical Isles: (Seventh Article),The Journal of Education,2,1928,research-article
SOME FORWARD MOVEMENTS IN PUBLIC EDUCATION IN MILWAUKEE,The Journal of Education,2,1911,research-article
ANTHROPOLOGICAL ENGINEERING: ITS USE TO ADMINISTRATORS,Applied Anthropology,10,1943,research-article
Gender Gap: Marriage and Birthrate in Japan,Harvard International Review,2,2000,research-article
Normative Collective Behavior in The Station Building Fire,Social Science Quarterly,19,2011,research-article
Female Infanticide and Gender in Punjab: Imperial Claims and Contemporary Discourse,Economic and Political Weekly,4,2003,research-article
"Beyond ""Homo Economicus"": Recognition, Self-Realization and Social Work",The British Journal of Social Work,17,2010,research-article
Editorial,The British Journal of Social Work,4,2011,research-article
Review Article,Journal of Economic Issues,3,1992,book-review
The Concept of Evolution and Early State Formation [with Commentaries],Politics and the Life Sciences,19,1985,research-article
[Editorials],The Journal of Education,3,1909,research-article
[Association Information],Young Children,18,1996,misc
"Empowerment and Fertility Transition on Antigua, WI: Education, Employment, and the Moral Economy of Childbearing",Human Organization,12,1993,research-article
"Social Inequality, Class, and the Classics",Sociology,7,2008,book-review
The Magnificent Seven: Reasons for Teaching about Prehistory,Teaching History,6,1992,research-article
THE WEST POINT FOUNDRY,Proceedings of the New York State Historical Association,16,1916,research-article
THE STATUS OF WOMEN IN NEW ZEALAND TODAY,Pi Lambda Theta Journal,5,1949,research-article
"Separating out the levels: Globalization, identity, and the Ekistic Grid in sociological perspective",Ekistics,7,2006,research-article
Role Reversal of Rural Black Grandparents in South Africa,Journal of Comparative Family Studies,9,2016,research-article
[Association Information],Young Children,12,1996,misc
Editorial: Gender Aspects of the Life Course,Sociologický Časopis / Czech Sociological Review,4,2015,research-article
The Pelhams,Negro History Bulletin,3,1942,research-article
"What's ""Special"" about Special Education?",Educational Horizons,2,2002,research-article
[Editorial],The Journal of Education,3,1908,research-article
"THE FORMATION OF A FREE NON-WHITE ELITE IN PARAMARIBO, 1800-1863",Caribbean Studies,34,2015,research-article
Review Article,Sociologus,4,1961,book-review
A Comparison of Niche Construction Theory and Diet Breadth Models as Explanatory Frameworks for the Initial Domestication of Plants and Animals,Journal of Archaeological Research,48,2015,research-article
INMATE ADAPTATIONS AND SOCIALIZATION IN THE PRISON,Sociology,13,1970,research-article
Diverging Mobility Trajectories: Grandparent Effects on Educational Attainment in One-and Two-Parent Families in the United States,Demography,28,2016,research-article
TREND OF THE TIMES,The Journal of Education,2,1926,research-article
Global Migration and Family Change in the Baltic Sea Region,Journal of Comparative Family Studies,22,2016,research-article
AN INSTRUMENT FOR THE MEASUREMENT OF NEIGHBORHOOD WITH EXPERIMENTAL APPLICATIONS,The Southwestern Social Science Quarterly,14,1937,research-article
Review Article,Urban Studies,3,2006,book-review
"Virginia Council Journals, 1726-1753 (Continued)",The Virginia Magazine of History and Biography,14,1926,research-article
THE LONG WALK IV -HUNTER-GATHERERS AND ANTHROPOLOGY: AN INTERVIEW WITH JAMES WOODBURN,Nomadic Peoples,16,2002,research-article
Consolidation as a Means of Socialization,The Journal of Education,3,1927,research-article
