Source,Target,Weight
ability,forces,1076.1961722488038
ability,information,1149.1769305962855
ability,dependent-variables,1363.1818181818182
ability,expect,1145.0727272727272
ability,higher-levels,1590.378787878788
ability,lead,1272.3030303030303
forces,areas,1155.9613003095976
forces,lead,1043.5116959064328
information,higher-levels,1091.0340501792114
according,despite,1095.286956521739
despite,journal-marriage,1404.2140468227424
despite,usually,1126.358926919519
account,results-table,1649.45
account,per-capita,1271.3152173913043
results-table,control,1776.3307692307692
results-table,difference,1049.65
results-table,include,1065.3164179104479
results-table,levels,1218.9483870967742
results-table,measure,1307.7606557377048
results-table,models,1205.9808510638297
results-table,past,1224.5916666666667
results-table,population,1421.5732283464567
results-table,rate,2183.272
results-table,results,1300.7427450980392
results-table,areas,1852.3235294117646
results-table,concern,1319.56
results-table,dependent,1642.9304347826087
results-table,dependent-variables,2999.0
results-table,effect,1233.1552447552447
results-table,future,1026.3244444444445
results-table,possibility,2399.2
results-table,significance,1781.2242424242424
results-table,standard,1959.3466666666666
results-table,table,1567.941908713693
results-table,test,1484.870731707317
results-table,series,1539.4866666666667
action,affect,1025.2738916256158
action,collective-action,2361.1174603174604
action,community,1221.952795031056
action,small,1183.7667701863354
action,structural,1089.4326530612245
action,model-model,2161.184126984127
action,two-types,1610.8914285714286
affect,collective-action,1442.4309067688378
affect,model-model,1327.1436781609195
collective-action,community,1267.693236714976
collective-action,control-variables,1046.115824915825
collective-action,good,1147.271769547325
collective-action,small,1595.6032206119162
collective-action,structural,1377.3185185185184
collective-action,two-types,2218.5195061728396
collective-action,contrast,1076.5641025641025
collective-action,large,1209.818814814815
collective-action,less-likely,1168.9588761174969
collective-action,model-model,3127.3522633744856
collective-action,sociological-association,1044.0962962962963
collective-action,source,1071.2477366255143
community,control-variables,1244.6442687747035
community,dependent-variables,1043.1304347826087
community,less-likely,1447.7931034482758
community,small,1530.3262051039696
community,san-francisco,1108.3260869565217
small,large,1242.4661413043477
small,middle-class,1462.4570158102767
small,model-model,1305.7240338164252
small,class,1184.1407279314888
small,social-class,1397.6317934782608
small,statistically-significant,1049.65
small,two-types,1277.8347826086956
structural,argument,1066.3111111111111
structural,contrast,1153.4615384615386
structural,experience,1041.7578947368422
structural,social-movements,1129.4935064935064
structural,social-sciences,2624.125
structural,university-press,1073.716049382716
activities,cambridge,1071.7846836847946
activities,cambridge-cambridge,1955.2303921568628
activities,cambridge-university,1234.8823529411766
activities,john,1234.8823529411766
activities,necessary,1189.1459694989107
activities,right,1266.1451973194341
activities,support,1045.6665085388995
cambridge,cambridge-cambridge,4819.147798742139
cambridge,cambridge-university,3319.6477987421385
cambridge,david,2268.5403087478558
cambridge,eds,2598.9347898047004
cambridge,john,3471.65038845727
cambridge,journal-sociology,1346.7207547169812
cambridge,oxford-university,1650.3930817610062
cambridge,paper-presented,1452.3459119496856
